516s 大都督
522s 小心啊
532s 大都督大都督
556s 是应关羽之邀
558s 来谈归还长沙零陵桂阳
560s 来谈归还长沙零陵桂阳
570s 总之是来和谈而非论战
572s 总之是来和谈而非论战
578s 大都督有何盼附
580s 布在江上的水师
586s 大都督如此一来等于
588s 向荆州军散开呀
602s 我跟你说现在沿江两岸
604s 我跟你说现在沿江两岸
606s 已是张弓待发之势
612s 谁又能心平气和地坐下来呢
618s 关羽欺人太甚
624s 子明啊你记住
626s 我江东从不仗势欺人
630s 但也绝不可被人欺
632s 欺人者必自毙不是吗
634s 欺人者必自毙不是吗
636s 大都督所言甚是
666s 时辰不早了
668s 你也回去歇息吧
674s 伺候你睡下以后我就回去
684s 下去吧
696s 子明你这是干什么
700s 大都督你终日为国事操劳
704s 身体欠安双腿都已经浮肿了
708s 还是我来吧
710s 也不能让你来做呀
712s 你现在毕竟已是
722s 大都督你对我恩同再造
724s 这点小事算不得什么
728s 你我是袍泽
730s 谈什么恩不恩的
762s 父亲
766s 怎么撤了
772s 定是鲁肃令他们撤的
776s 他这是在向我们示诚
778s 东吴文武不和
780s 也就是这个鲁肃还是个明白人
784s 父亲你为何不披战甲呀
788s 儿派五百校刀手
794s 昔日我在千枪万仞之中
796s 昔日我在千枪万仞之中
798s 矢石交攻之际匹马纵横
800s 矢石交攻之际匹马纵横
804s 今日又何惧那江东鼠辈
806s 今日又何惧那江东鼠辈
810s 父亲
812s 我只带周仓一人过江
826s 这关羽竟敢只身前来
846s 大都督已在帐中等候多时了
850s 有劳吕将军相迎
880s 云长啊恕我贱体有善
882s 云长啊恕我贱体有恙
884s 不能相陪了
886s 还请云长自己多饮几杯吧
888s 还请云长自己多饮几杯吧
904s 来换大盏
916s 子明啊你们应该祝贺
918s 子明啊你们应该祝贺
920s 子明啊你们应该祝贺
922s 关将军受封汉寿亭侯啊
924s 关将军受封汉寿亭侯啊
932s 恭贺君侯
936s 多谢
958s 令你交回长沙等三郡
962s 敢问云长为何抗命啊
966s 子敬兄今天只喝酒
968s 子敬兄今天只喝酒
970s 不谈国事
974s 这酒要喝易国事也要论
976s 这酒要喝揭国事也要论
980s 云长啊数年前
982s 我家主公只有区区江东之地
984s 我家主公只有区区江东之地
986s 却肯以荆州相借
990s 那是念及刘皇叔兵败来投
992s 没有依托
994s 可如今刘皇叔已夺得益州百余县
996s 可如今刘皇叔已夺得益州百余县
998s 其沃土丰田已远超过我江东
1000s 其沃土丰田已远超过我江东
1004s 按理说你们应该早就兑现诺言
1010s 可是刘皇叔仍然说他益州未稳
1012s 可是刘皇叔仍然说他益州未稳
1014s 只能先还三郡
1018s 对此我家主公也能够体谅
1020s 对此我家主公也能够体谅
1022s 不料云长却不能够体谅
1024s 不料云长却不能够体谅
1026s 那我来问你东吴为什么总说
1028s 那我来问你东吴为什么总说
1030s 荆州是借我们的
1034s 荆州是我们从曹操手里
1036s 夺回的大汉城池
1046s 在你们夺得那些大汉城池之前
1050s 早已是兵败长坂
1052s 九死一生命悬一线
1058s 若不是我江东以举国之力
1060s 败曹操于赤壁
1064s 刘皇叔和关将军
1066s 现在恐怕早就是
1068s 曹操的阶下之囚了
1072s 又如何能够夺得那些大汉城池
1074s 又如何能够夺得那些大汉城池
1078s 天下土地有能者居之
1090s 这哪有你说话的份
1102s 下去下去
1104s 下去下去
1122s 关将军来
1124s 关将军来
1132s 云长啊你太过计较了
1134s 云长啊你太过计较了
1136s 我且敬你一杯
1142s 将军们背着我设伏
1144s 你可以以我为质换我而走
1158s 我喝醉了荆州之事
1176s 关羽不要伤了大都督
1180s 散开
1196s 我不是在救你
1198s 我是在救孙刘联盟啊
